locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0809	60	90	63	26	30	34
gene0810	26	40	36	29	20	22
gene0811	44	87	56	27	30	52
gene0812	56	85	54	22	43	33
gene0813	22	43	33	12	16	29
gene0814	5	8	5	1	6	5
gene0815	25	27	23	11	18	34
gene0816	3	9	7	5	6	13
gene0817	4	5	3	4	5	2
gene0818	2	8	5	9	5	2
gene0819	7	10	4	3	4	4
gene0820	22	18	22	21	19	28
gene0821	20	18	24	6	16	15
gene0822	7	5	5	5	10	8
gene0823	1	3	5	2	2	6
gene0824	5	4	7	4	1	3
gene0825	2	5	8	6	6	4
gene0826	4	6	5	2	8	7
gene0826.1	3669	4761	6364	6835	13475	11145
gene0827	7	9	17	5	10	12
gene0828	1	7	6	4	2	4
gene0829	11	3	9	9	8	5
gene0830	9	16	10	9	6	11
gene0831	9	18	9	13	29	42
gene0832	2	6	4	7	6	8
gene0833	30	70	51	57	54	114
gene0834	12	19	12	10	13	20
gene0835	17	25	25	18	25	34
gene0836	8	16	11	6	5	18
gene0837	21	25	26	124	160	169
gene0838	12	14	23	26	21	27
gene0839	0	2	1	3	0	5
gene0840	2	9	7	5	10	12
gene0841	4	5	4	3	7	9
gene0842	6	6	8	7	2	6
gene0843	3	13	5	9	7	11
gene0844	14	15	7	4	5	6
gene0845	8	10	13	8	0	14
gene0846	4	6	5	12	10	11
gene0847	9	16	7	12	9	11
gene0848	24	13	17	6	1	8
gene0849	44	35	40	8	17	12
gene0850	5	1	2	2	0	1
gene0851	4	2	2	2	2	5
gene0852	4	17	8	15	4	11
gene0853	4	3	3	2	2	6
gene0854	11	25	20	17	27	45
gene0855	1	6	4	3	1	3
gene0856	5	12	16	18	20	45
gene0857	2	5	5	3	7	9
gene0858	12	13	14	25	31	48
gene0859	3	4	3	3	4	9
gene0860	3	9	3	12	18	10
gene0861	9	19	16	11	8	24
gene0862	6	3	13	2	11	9
gene0863	1	1	4	2	1	2
gene0864	1	1	4	2	3	3
gene0865	53	112	110	65	60	131
gene0866	3	6	4	6	9	10
gene0867	8	6	7	14	26	29
gene0868	1	4	1	6	9	9
gene0869	8	9	7	9	13	22
gene0870	15	29	26	19	22	39
gene0871	5	18	6	7	12	18
gene0872	13	40	39	39	27	71
gene0873	1	13	7	8	6	16
gene0874	0	3	0	1	0	2
gene0875	1	4	4	5	5	10
gene0876	3	8	10	5	5	13
gene0877	0	2	2	3	6	7
gene0878	0	0	0	2	1	3
gene0879	2	2	3	2	3	1
gene0880	0	0	1	0	0	0
gene0881	0	0	1	0	0	0
gene0882	0	0	1	2	3	1
gene0883	0	3	0	0	0	0
gene0884	1	4	1	1	1	4
gene0885	0	0	0	0	1	2
gene0886	2	3	1	2	1	3
gene0887	26	44	37	51	43	76
gene0888	21	39	37	38	58	92
gene0889	7	11	7	6	11	25
gene0890	4	4	5	6	13	13
gene0891	4	6	5	13	9	18
gene0892	7	4	4	6	14	13
gene0893	1	7	4	4	11	16
gene0894	1	0	2	2	3	7
gene0895	17	34	40	43	49	54
gene0896	8	12	10	19	24	32
gene0897	2	7	5	10	15	13
gene0898	10	16	14	9	12	18
gene0899	6	31	14	18	21	20
gene0900	6	8	9	12	8	10
gene0901	12	20	17	25	24	38
gene0902	3	6	2	7	14	14
gene0903	33	51	46	50	108	105
gene0904	15	38	49	37	71	70
gene0905	15	43	38	113	194	184
gene0906	6	6	9	8	7	15
gene0907	22	25	27	12	9	17
gene0908	33	44	45	11	19	23
gene0909	20	22	35	10	17	11
gene0910	70	136	130	37	47	71
gene0911	48	62	69	13	23	30
gene0912	19	21	26	8	9	9
gene0913	41	47	44	59	74	112
gene0914	6	7	4	5	8	3
gene0915	3	6	5	2	3	9
gene0916	21	25	28	33	29	46
gene0917	20	26	17	27	22	49
gene0918	5	10	4	1	6	15
gene0919	8	13	9	11	12	26
gene0920	10	24	19	34	26	47
gene0921	15	17	19	24	29	47
gene0922	13	18	24	23	31	40
gene0923	13	19	12	21	28	33
gene0924	15	19	11	20	10	33
gene0925	4	7	6	2	2	3
gene0926	5	7	7	5	1	6
gene0927	1	9	7	2	9	10
gene0928	18	18	20	20	16	26
gene0929	9	4	6	8	7	7
gene0930	5	9	4	7	12	9
gene0931	11	15	10	11	6	12
gene0932	13	28	24	23	39	34
gene0933	11	19	16	31	33	24
gene0934	29	55	56	51	62	70
gene0935	11	9	11	4	4	14
gene0936	10	18	22	16	17	37
gene0937	6	15	4	13	26	37
gene0938	21	41	34	72	92	92
gene0939	1	3	1	1	0	4
gene0940	5	4	3	6	4	5
gene0941	11	8	6	2	4	11
gene0942	4	8	3	4	4	13
gene0943	8	25	22	24	33	57
gene0944	8	7	12	16	14	31
gene0945	11	26	21	31	46	44
gene0946	4	13	11	14	14	30
gene0947	10	8	16	28	52	57
gene0948	0	2	2	7	6	9
gene0949	4	4	8	14	10	14
gene0950	6	10	17	10	13	33
gene0951	33	43	31	54	26	115
gene0952	4	6	6	12	10	19
gene0953	4	4	6	2	4	7
gene0954	2	1	0	2	3	4
gene0955	6	6	7	19	27	25
gene0956	15	29	30	57	72	88
gene0957	1	2	5	3	8	2
gene0958	72	129	145	119	169	250
gene0959	3	4	6	6	9	17
gene0960	1	0	2	1	3	5
gene0961	0	0	2	0	3	2
gene0962	23	38	32	37	19	55
gene0963	32	57	68	94	110	126
gene0964	19	18	27	46	73	83
gene0965	10	7	9	14	17	20
gene0966	9	13	12	24	24	26
gene0967	9	13	18	24	24	54
gene0968	12	18	10	20	37	31
gene0969	24	42	38	59	76	77
gene0970	5	22	21	29	35	38
gene0971	31	59	42	75	82	140
gene0972	27	53	56	93	115	149
gene0973	57	120	100	215	330	308
gene0974	24	48	34	89	94	129
gene0975	6	13	9	30	28	29
gene0976	8	7	15	15	18	23
gene0977	8	8	6	72	72	88
gene0978	2	2	2	9	1	6
gene0979	1	4	3	5	2	8
gene0980	0	0	0	0	3	4
gene0981	4	5	4	5	8	16
gene0982	3	2	5	2	5	9
gene0983	4	1	2	1	2	2
gene0984	1	0	3	1	5	8
gene0985	7	11	18	7	5	13
gene0986	0	0	0	0	1	0
gene0987	1	1	0	0	2	1
gene0988	4	3	7	4	5	11
gene0989	0	1	3	5	5	3
gene0990	3	4	3	1	0	8
gene0991	1	2	1	2	6	2
gene0992	1	5	2	2	4	7
gene0993	0	0	0	2	0	1
gene0994	1	7	4	5	2	12
gene0995	2	2	3	3	6	14
gene0996	5	28	19	11	11	34
gene0997	3	20	14	17	4	26
gene0998	4	24	20	14	3	19
gene0999	6	30	17	11	13	31
gene1000	3	22	14	16	4	26
gene1001	8	15	11	11	9	26
gene1002	5	6	4	5	2	7
gene1003	3	4	3	3	2	2
gene1004	9	22	29	26	40	48
gene1005	2	12	3	16	17	24
gene1006	1	5	3	9	7	10
gene1007	4	1	2	16	18	18
gene1008	4	11	4	15	16	23
gene1009	1	4	5	6	9	12
gene1010	10	21	26	47	72	93
gene1011	6	16	17	32	51	86
gene1012	6	4	11	16	28	39
gene1013	4	8	15	42	59	58
gene1014	8	13	26	8	27	29
gene1015	3	3	4	8	7	4
gene1016	2	4	2	2	6	7
gene1017	4	3	3	2	3	3
gene1018	1	1	1	2	1	3
gene1019	0	1	1	1	0	1
gene1020	2	1	3	2	0	6
gene1021	0	0	0	1	0	0
gene1022	1	4	6	2	2	1
gene1023	3	2	0	2	4	1
gene1024	4	5	2	2	1	10
gene1025	0	2	1	2	1	5
gene1026	3	5	3	4	6	10
gene1027	2	7	5	5	0	8
gene1028	4	0	2	4	4	8
gene1029	6	6	4	10	5	12
gene1030	10	10	8	8	6	16
gene1031	7	16	14	29	26	44
gene1032	14	27	27	19	27	42
gene1033	2	4	5	6	4	3
gene1034	4	8	8	21	36	35
gene1035	8	5	6	11	18	21
gene1036	0	2	4	2	5	7
gene1037	8	4	6	7	8	13
gene1038	1	2	0	1	1	2
gene1039	0	3	4	0	2	4
gene1040	1	1	4	1	2	4
gene1041	15	33	33	30	14	34
gene1042	2	4	1	0	3	2
gene1043	1	5	8	2	0	6
gene1044	0	4	5	1	3	5
gene1045	10	7	12	18	25	37
gene1046	7	9	7	13	14	28
gene1047	12	19	7	15	24	44
gene1048	16	25	25	38	49	72
gene1049	0	5	7	6	9	5
gene1050	0	2	3	4	3	5
gene1051	3	3	5	5	8	12
gene1052	2	5	0	4	3	6
gene1053	69	148	113	233	196	389
gene1054	10	12	17	28	23	39
gene1055	2	3	1	3	3	3
gene1056	3	6	2	6	7	15
gene1057	2	2	1	5	7	2
gene1058	1	4	1	1	0	2
gene1059	2	0	1	1	4	2
gene1060	0	1	4	2	4	6
gene1061	1	2	3	3	0	3
gene1062	0	1	1	3	0	3
gene1063	0	2	0	1	0	3
gene1064	3	6	7	4	7	7
gene1065	2	2	0	1	1	1
gene1066	0	3	2	1	2	9
gene1067	1	0	2	1	2	1
gene1068	12	15	14	12	19	19
gene1069	11	25	14	18	14	36
gene1070	3	9	3	12	11	6
gene1071	1	2	1	7	6	7
gene1072	2	4	1	14	6	8
gene1073	1	3	10	3	13	16
gene1074	24	69	46	49	58	83
gene1075	1	3	2	9	9	14
gene1076	1	2	9	2	2	9
gene1077	4	2	6	5	9	9
gene1078	2	5	5	7	4	9
gene1079	9	17	7	5	8	21
gene1080	18	41	23	18	22	44
gene1081	6	5	8	10	5	15
gene1082	9	19	19	6	10	24
gene1083	4	8	7	8	8	14
gene1084	2	8	4	8	8	19
gene1085	5	10	7	15	10	22
gene1086	10	17	18	20	24	25
gene1087	13	26	34	28	14	65
gene1088	5	4	10	7	14	12
gene1089	2	4	3	5	4	6
gene1090	2	4	3	0	3	6
gene1091	8	16	14	30	28	31
gene1092	628	1348	1036	997	495	2275
gene1093	18	39	33	20	14	29
gene1094	87	187	142	138	91	297
gene1095	58	108	74	99	32	168
gene1096	40	61	64	57	30	112
gene1097	12	26	30	30	32	49
gene1098	15	29	27	27	20	37
gene1099	3	15	9	11	12	17
gene1100	12	22	19	12	9	15
gene1101	22	33	20	38	15	51
gene1102	14	32	20	23	21	35
gene1103	2	7	9	6	11	12
gene1104	4	10	15	4	11	18
gene1105	3	3	3	1	6	2
gene1106	7	9	7	19	5	17
gene1107	7	8	9	5	1	12
gene1108	2	4	2	2	1	8
gene1109	2	7	6	3	3	3
gene1110	2	6	4	6	8	8
gene1111	2	4	5	2	2	6
gene1112	8	20	12	14	6	17
gene1113	9	12	10	13	10	33
gene1114	2	5	4	7	4	9
gene1115	9	4	9	17	18	28
gene1116	10	21	22	20	16	40
gene1117	2	3	2	5	7	14
gene1118	5	6	2	7	7	14
gene1119	3	4	4	2	4	4
gene1120	0	7	6	6	4	10
gene1121	1	2	1	2	8	7
gene1122	2	6	8	6	7	9
gene1123	1	2	7	3	6	4
gene1124	6	7	5	3	8	7
gene1125	3	0	2	0	4	5
gene1126	2	1	1	1	7	10
gene1127	4	5	3	9	11	22
gene1128	2	1	1	3	1	3
gene1129	0	0	0	2	0	1
gene1130	0	2	1	1	2	4
gene1131	0	4	0	3	2	3
gene1132	2	2	4	10	6	12
gene1133	0	2	2	3	0	0
gene1134	1	3	0	6	1	2
gene1135	2	7	6	2	2	11
gene1136	3	2	3	6	3	5
gene1137	2	6	2	3	1	7
gene1138	1	1	0	2	2	1
gene1139	3	4	2	4	5	8
gene1140	4	6	2	3	3	9
gene1141	0	6	4	1	3	3
gene1142	1	3	0	4	5	10
gene1143	0	0	0	0	1	1
gene1144	0	1	1	1	0	5
gene1145	3	2	3	1	2	3
gene1146	0	1	0	0	4	7
gene1147	1	2	1	4	5	9
gene1148	1	0	1	2	1	2
gene1149	0	0	0	0	0	1
gene1150	71	68	72	48	52	65
gene1151	16	23	24	25	59	72
gene1152	5	7	2	3	9	5
gene1153	0	0	0	3	2	5
gene1154	2	2	2	3	5	4
gene1155	16	43	52	55	51	77
gene1156	32	96	94	55	64	122
gene1157	5	4	9	6	12	20
gene1158	2	4	4	13	10	18
gene1159	18	23	24	84	195	180
gene1160	1	0	2	4	7	11
gene1161	2	2	2	2	1	4
gene1162	5	6	6	6	10	19
gene1163	5	9	7	10	13	11
gene1164	4	6	3	6	12	18
gene1165	2	1	2	1	3	4
gene1166	3	3	4	2	1	6
gene1167	1	3	2	1	4	8
gene1168	1	1	0	1	0	3
gene1169	2	7	7	7	5	6
gene1170	3	6	3	8	7	7
gene1171	2	7	2	7	8	11
gene1172	2	0	2	1	0	6
gene1173	0	0	1	0	0	0
gene1174	5	4	8	14	2	5
gene1175	1	1	0	2	2	1
gene1176	0	1	2	2	0	1
gene1177	0	2	5	0	3	1
gene1178	869	2102	1719	1833	1563	3031
gene1179	254	603	473	483	402	686
gene1180	79	163	138	193	116	214
gene1181	15	34	29	43	52	66
gene1182	5	4	4	5	7	10
gene1183	20	54	37	33	20	59
gene1184	1	0	1	1	3	8
gene1185	1	4	0	0	0	0
gene1186	0	2	0	1	0	1
gene1187	1	0	3	4	1	3
gene1188	2	4	2	3	2	4
gene1189	1	1	0	2	2	2
gene1190	23	61	50	31	14	34
gene1191	0	1	2	0	2	2
gene1192	9	11	19	25	26	49
gene1193	2	6	6	6	5	9
gene1194	3	8	5	7	5	6
gene1195	0	2	2	2	1	5
gene1196	0	2	2	3	3	8
gene1197	2	7	7	19	18	19
gene1198	20	32	19	29	45	85
gene1199	9	9	8	4	19	20
gene1200	1	2	5	1	6	6
gene1201	0	4	1	1	5	2
gene1202	9	5	12	8	4	11
gene1203	2	1	1	3	1	2
gene1204	2	2	1	3	2	2
gene1205	5	6	5	2	3	4
gene1206	5	8	5	12	8	14
gene1207	6	7	9	15	16	25
gene1208	1	3	4	8	6	3
gene1209	0	1	1	1	0	4
gene1210	0	3	3	2	1	2
gene1211	0	1	0	1	0	0
gene1212	0	1	4	2	0	6
gene1213	0	2	0	0	1	5
gene1214	0	1	1	1	1	0
gene1215	1	1	1	2	2	2
gene1216	0	1	1	0	1	4
gene1217	1	4	1	3	4	4
gene1218	0	0	1	1	1	3
gene1219	0	0	0	0	0	1
gene1220	3	1	0	1	0	7
gene1221	3	2	2	2	2	5
gene1222	1	11	6	11	8	10
gene1223	3	2	0	2	1	4
gene1224	1	0	2	1	0	3
gene1225	0	0	2	1	0	4
gene1226	1	1	0	0	1	2
gene1227	0	5	1	6	3	9
gene1228	0	1	0	2	9	9
gene1229	2	2	3	1	3	1
gene1230	0	0	0	0	0	1
gene1231	0	0	0	0	0	2
gene1232	0	7	1	2	0	5
gene1233	0	1	0	0	0	1
gene1234	4	3	2	3	2	2
gene1235	1	1	2	1	0	2
gene1236	0	0	2	1	1	2
gene1237	1	0	0	1	1	0
gene1238	1	0	0	0	0	1
gene1239	1	0	3	1	2	2
gene1240	0	1	0	0	2	3
gene1241	1	2	0	5	3	7
gene1242	0	2	0	9	0	7
gene1243	4	11	4	7	10	17
gene1244	8	29	18	29	20	36
gene1245	9	16	22	7	8	16
gene1246	1	4	2	3	2	9
gene1247	1	1	0	2	1	5
gene1248	0	0	1	0	3	4
gene1249	4	10	4	9	3	13
gene1250	0	5	6	3	4	4
gene1251	4	7	3	3	3	12
gene1252	3	3	3	1	3	9
gene1253	1	3	1	2	1	5
gene1254	2	0	2	2	0	0
gene1255	0	1	2	3	1	4
gene1256	0	0	1	2	0	9
gene1257	1	2	0	1	1	1
gene1258	1	0	0	1	0	2
gene1259	1	3	0	3	1	4
gene1260	0	2	0	4	0	0
gene1261	0	1	2	1	0	5
gene1262	1	1	2	2	1	5
gene1263	2	5	3	7	2	9
gene1264	1	2	0	2	0	5
gene1265	0	0	0	0	0	0
gene1266	0	0	0	2	1	2
gene1267	0	0	1	0	0	1
gene1268	0	1	0	0	1	2
gene1269	2	1	3	6	3	8
gene1270	0	4	0	1	0	3
gene1271	18	22	13	20	16	23
gene1272	7	5	5	15	5	17
gene1273	2	1	3	2	7	18
gene1274	0	1	0	6	3	5
gene1275	0	1	0	2	2	4
gene1276	0	1	0	1	2	5
gene1277	1	1	4	2	9	15
gene1278	0	1	2	1	1	4
gene1279	1	2	0	2	2	5
gene1280	0	2	1	3	1	2
gene1281	0	1	0	2	2	5
gene1282	1	1	0	5	5	4
gene1283	1	1	3	4	1	6
gene1284	0	3	2	6	2	3
gene1285	5	11	3	5	7	15
gene1286	1	2	2	3	1	7
gene1287	4	5	3	2	4	2
gene1288	28	67	57	53	75	129
gene1289	2	3	0	3	0	5
gene1290	1	0	1	1	3	1
gene1291	0	3	0	2	1	9
gene1292	2	14	4	6	8	17
gene1293	5	1	3	7	19	22
gene1294	1	9	7	13	5	30
gene1295	1	3	0	0	5	5
gene1296	15	32	19	28	22	71
gene1297	8	19	23	16	17	28
gene1298	1	2	4	7	3	5
gene1299	8	6	5	12	12	21
gene1300	2	8	6	8	6	14
gene1301	4	10	9	4	8	5
gene1302	4	5	2	10	8	19
gene1303	0	0	3	5	2	5
gene1304	2	9	4	9	6	15
gene1305	3	5	4	6	10	13
gene1306	1	2	6	5	4	7
gene1307	4	6	8	12	11	11
gene1308	2	6	4	7	8	6
gene1309	0	1	0	1	3	6
gene1310	1	1	2	0	1	1
gene1311	2	0	1	1	5	4
gene1312	1	0	0	3	1	2
gene1313	1	0	1	1	0	3
gene1314	1	1	3	1	0	2
gene1315	0	2	1	2	1	7
gene1316	2	4	2	2	6	9
gene1317	2	3	2	4	12	18
gene1318	6	4	9	9	16	19
gene1319	0	0	0	1	8	7
gene1320	0	0	0	4	3	9
gene1321	1	2	1	5	13	14
gene1322	0	5	2	9	3	9
gene1323	4	3	3	2	0	10
gene1324	3	6	7	8	6	14
gene1325	1	3	1	5	2	8
gene1326	1	9	3	3	3	4
gene1327	10	16	11	8	7	15
gene1328	0	1	0	1	4	0
gene1329	0	2	0	0	0	0
gene1330	2	2	3	3	2	1
gene1331	8	5	5	11	6	15
gene1332	1	1	3	3	0	2
gene1333	4	4	4	2	3	7
gene1334	1	0	0	1	1	2
gene1335	3	6	0	4	5	11
gene1336	6	11	7	6	6	18
gene1337	10	27	18	12	12	33
gene1338	7	14	13	5	17	15
gene1339	7	14	12	10	10	17
gene1340	4	7	9	7	10	17
gene1341	1	8	7	6	7	8
gene1342	24	59	59	35	40	61
gene1343	24	30	30	50	28	62
gene1344	10	39	30	37	26	61
gene1345	7	7	7	17	7	15
gene1346	1	3	3	1	1	5
gene1347	2	2	3	5	0	3
gene1348	0	2	2	4	1	3
gene1349	0	1	3	0	0	3
gene1350	1	4	3	0	1	5
gene1351	0	4	0	1	1	0
gene1352	1	0	0	0	3	3
gene1353	0	1	0	0	1	2
gene1354	0	3	3	1	1	0
gene1355	0	0	0	1	0	0
gene1356	2	2	1	2	0	3
gene1357	1	3	1	1	1	6
gene1358	3	4	1	3	6	4
gene1359	0	2	3	1	2	3
gene1360	2	4	2	6	4	5
gene1361	3	1	3	11	9	11
gene1362	0	2	0	0	2	3
gene1363	2	1	3	5	5	5
gene1364	0	0	1	2	3	6
gene1365	6	10	8	5	6	16
gene1366	4	6	12	15	18	23
gene1367	0	2	3	2	2	2
gene1368	2	1	1	1	5	7
gene1369	3	1	0	9	8	10
gene1370	3	0	6	7	18	20
gene1371	1	4	5	20	29	27
gene1372	6	26	17	41	87	142
gene1373	3	4	3	4	1	0
gene1374	2	2	0	1	3	1
gene1375	3	0	1	3	2	7
gene1376	3	3	5	14	6	10
gene1377	1	1	6	4	1	6
gene1378	0	2	2	1	0	0
gene1379	0	0	0	2	1	4
gene1380	0	2	1	1	0	3
gene1381	0	0	1	1	1	1
gene1382	1	10	13	10	20	26
gene1383	7	7	8	7	9	13
gene1384	2	1	3	1	2	3
gene1385	0	1	2	0	0	4
gene1386	2	0	0	1	2	3
gene1387	0	2	4	5	4	10
gene1388	1	0	2	0	1	2
gene1389	1	5	0	4	4	3
gene1390	0	2	1	2	3	9
gene1391	1	2	2	1	3	1
gene1392	0	2	2	7	0	3
gene1393	0	1	0	4	0	2
gene1394	0	0	1	2	1	2
gene1395	0	2	0	0	1	2
gene1396	4	2	3	7	8	11
gene1397	5	0	4	5	3	5
gene1398	1	1	3	0	2	6
gene1399	0	1	3	3	4	5
gene1400	2	1	3	2	1	7
gene1401	1	0	1	1	0	0
gene1402	0	0	0	0	2	0
gene1403	0	1	2	1	1	2
gene1404	1	0	1	1	1	2
gene1405	0	3	5	6	2	10
gene1406	1	1	1	2	3	2
gene1407	1	0	1	4	5	7
gene1408	3	6	9	4	3	24
gene1409	0	1	1	0	3	1
gene1410	3	2	2	0	0	0
gene1411	1	0	3	1	2	3
gene1412	0	0	0	0	1	1
gene1413	1	3	2	3	3	0
gene1414	5	17	10	7	6	21
gene1415	1	3	4	0	1	5
gene1416	2	4	2	3	2	7
gene1417	0	1	1	2	0	3
gene1418	2	4	5	2	2	8
gene1419	3	5	4	8	0	7
gene1420	1	0	0	2	1	5
gene1421	5	8	6	6	6	15
gene1422	2	10	8	7	6	16
gene1423	11	22	27	29	15	56
gene1424	2	3	1	5	3	4
gene1425	6	2	4	11	10	12
gene1426	0	0	4	1	0	3
gene1427	0	2	2	0	4	2
gene1428	1	5	1	0	5	4
gene1429	0	5	8	7	7	6
gene1430	11	17	19	33	23	40
gene1431	4	4	8	10	11	18
gene1432	53	92	101	55	58	104
gene1433	5	18	19	15	12	32
gene1434	2	2	1	3	3	8
gene1435	1	3	1	0	1	7
gene1436	2	13	5	8	3	13
gene1437	1	2	2	2	2	8
gene1438	3	6	4	2	4	3
gene1439	1	0	5	4	1	9
gene1440	13	17	21	29	33	51
gene1441	9	23	21	23	12	47
gene1442	7	7	4	8	16	21
gene1443	5	13	10	19	14	39
gene1444	7	7	7	7	5	24
gene1445	1	3	2	2	3	8
gene1446	0	1	1	13	9	7
gene1447	1	0	2	1	4	2
gene1448	0	0	6	1	1	2
gene1449	1	0	0	4	5	8
gene1450	1	1	2	10	1	3
gene1451	1	1	1	5	2	7
gene1452	24	35	21	51	32	63
gene1453	16	48	30	31	28	81
gene1454	13	29	21	27	26	45
gene1455	16	33	18	22	27	51
gene1456	9	10	9	12	10	28
gene1457	15	52	24	36	22	61
gene1458	43	120	95	122	54	234
gene1459	12	26	20	36	17	50
gene1460	3	7	4	7	5	21
gene1461	1	5	7	8	10	26
gene1462	7	9	12	11	14	17
gene1463	18	28	23	19	10	50
gene1464	13	26	19	40	17	74
gene1465	4	8	3	8	2	13
gene1466	1	9	3	11	3	14
gene1467	2	5	5	7	3	7
gene1468	0	4	3	1	2	4
gene1469	4	2	3	5	1	10
gene1470	0	3	2	4	2	5
gene1471	10	12	10	20	8	32
gene1472	2	4	3	4	2	4
gene1473	2	3	2	7	0	6
gene1474	39	90	44	71	41	161
gene1475	8	3	11	12	16	24
gene1476	2	2	4	10	7	9
gene1477	3	7	6	11	20	13
gene1478	1	1	0	1	4	3
gene1479	3	6	5	13	10	12
gene1480	2	6	4	20	26	30
gene1481	1	0	1	5	9	8
gene1482	0	4	4	5	2	4
gene1483	3	2	4	21	28	25
gene1484	5	2	8	8	8	12
gene1485	0	1	3	1	1	3
gene1486	0	1	3	2	1	3
gene1487	0	4	3	4	2	2
gene1488	0	2	0	0	2	4
gene1489	2	3	0	0	2	8
gene1490	0	0	1	3	1	3
gene1491	0	4	4	5	0	6
gene1492	1	0	1	0	1	1
gene1493	4	10	11	13	15	36
gene1494	3	15	6	28	9	63
gene1495	1	0	0	1	1	1
gene1496	3	0	0	1	2	2
gene1497	0	1	0	0	2	0
gene1498	3	5	1	3	1	6
gene1499	5	3	3	1	1	5
gene1500	1	3	3	1	3	2
gene1501	1	0	2	3	4	7
gene1502	3	4	0	7	5	5
gene1503	0	3	0	3	0	4
gene1504	0	1	3	7	2	9
gene1505	9	11	9	13	14	15
gene1506	1	0	0	0	2	1
gene1507	1	6	5	2	4	11
gene1508	0	0	4	1	0	1
gene1509	3	2	5	4	7	12
gene1510	2	7	3	11	4	7
gene1511	32	39	32	71	19	99
gene1512	0	1	0	0	0	3
gene1513	8	8	8	9	5	17
gene1514	1	2	0	5	2	3
gene1515	3	3	4	2	1	2
gene1516	2	1	2	2	0	2
gene1517	2	3	5	4	0	6
gene1518	1	4	7	3	2	4
gene1519	0	0	2	4	1	3
gene1520	9	14	9	12	18	26
gene1521	1	4	1	4	1	0
gene1522	0	5	3	1	5	5
gene1523	4	6	2	3	6	8
gene1524	1	0	4	5	1	3
gene1525	0	5	3	4	6	8
gene1526	7	3	6	10	13	9
gene1527	13	20	25	39	44	73
gene1528	14	27	23	50	69	68
gene1529	8	20	11	19	31	44
gene1530	4	3	2	6	10	15
gene1531	1	3	4	13	7	20
gene1532	8	12	10	26	43	57
gene1533	9	19	21	23	38	43
gene1534	0	5	11	11	9	22
gene1535	2	6	5	9	4	8
gene1536	1	2	3	1	0	3
gene1537	0	0	1	0	1	2
gene1538	1	0	2	2	1	6
gene1539	2	0	0	1	0	4
gene1540	0	1	1	1	0	0
gene1541	1	3	3	3	3	8
gene1542	3	0	3	7	2	4
gene1543	5	10	4	5	8	13
gene1544	16	16	27	20	19	36
gene1545	25	53	52	62	20	161
gene1546	49	88	73	84	43	161
gene1547	5	21	11	27	10	62
gene1548	1	2	5	6	2	12
gene1549	16	53	25	50	25	119
gene1550	0	18	9	12	12	22
gene1551	11	19	17	34	21	45
gene1552	22	42	48	103	126	170
gene1552.1	6	10	8	16	20	29
gene1553	19	31	29	60	85	102
gene1554	34	66	62	119	187	256
gene1555	6	5	4	3	7	11
gene1555.1	1	1	0	1	3	1
gene1556	1	3	2	2	5	4
gene1557	2	8	9	9	6	12
gene1558	0	2	2	1	2	5
gene1559	56	90	115	111	167	224
gene1560	17	41	45	56	76	99
gene1561	21	45	38	72	56	106
gene1562	23	72	58	54	31	98
gene1563	1	6	1	7	5	20
gene1564	1	2	4	2	5	7
gene1565	2	3	2	4	3	7
gene1566	0	4	1	1	0	5
gene1567	0	3	2	3	1	4
gene1568	0	1	0	2	1	0
gene1569	0	4	1	3	7	5
gene1570	3	6	4	7	13	16
gene1571	9	12	5	7	14	28
gene1572	5	11	10	12	13	20
gene1573	2	4	4	2	5	5
gene1574	0	5	3	3	7	16
gene1575	2	4	0	4	0	5
gene1576	1	5	4	6	3	9
gene1577	2	1	2	4	1	3
gene1578	2	0	0	3	4	7
gene1579	20	69	36	60	35	95
gene1580	28	93	71	74	110	149
gene1581	42	80	73	146	196	264
gene1582	18	21	38	44	59	67
gene1583	75	153	135	165	251	360
gene1584	25	41	43	61	95	124
gene1585	116	239	244	170	241	337
gene1586	23	96	96	58	68	138
gene1587	46	167	126	110	134	216
gene1588	96	295	196	288	504	604
gene1589	69	180	149	237	378	481
gene1590	9	18	21	37	34	52
gene1591	2	6	3	13	19	15
gene1592	33	42	37	56	36	125
gene1593	0	2	0	5	5	6
gene1594	0	6	1	1	2	3
gene1595	0	2	1	5	13	10
gene1596	31	111	95	60	133	202
gene1597	3	8	7	4	3	7
gene1598	1	1	2	0	1	1
gene1599	1	1	3	5	2	3
gene1600	2	1	2	2	2	2
gene1601	5	5	5	4	1	11
gene1602	0	0	1	1	1	3
gene1603	1	1	1	0	1	1
gene1604	10	4	5	1	7	5
gene1605	2	3	5	6	4	11
gene1606	4	11	11	9	6	8
gene1607	2	10	11	11	18	26
gene1608	3	17	13	19	9	31
gene1609	25	36	49	107	128	165
gene1610	17	45	36	99	118	117
gene1611	5	19	9	20	22	30
gene1612	0	2	0	3	3	5
gene1613	7	11	11	8	9	22
gene1614	6	14	14	11	15	42
gene1615	0	1	2	2	1	2
gene1616	0	0	5	2	3	9
gene1617	5	14	10	8	9	14
gene1618	2	5	1	2	4	13
gene1619	0	1	0	0	1	3
gene1620	1	0	1	1	0	4
gene1621	4	2	3	5	2	5
gene1622	2	3	1	6	0	9
gene1623	2	7	6	3	10	12
gene1624	4	2	9	1	6	7
gene1625	2	9	6	7	11	18
