locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0163	2	4	1	3	1	5
gene0164	1	0	0	3	1	1
gene0165	5	10	6	13	23	30
gene0166	2	4	2	1	0	5
gene0167	1	6	4	4	10	11
gene0168	0	0	1	1	2	3
gene0169	1	4	2	7	5	20
gene0170	2	2	4	3	4	7
gene0171	0	2	1	4	1	7
gene0172	5	4	9	31	47	57
gene0173	0	2	0	1	0	1
gene0174	0	1	1	0	0	1
gene0175	1	1	3	1	1	3
gene0176	9	15	9	3	3	12
gene0177	1	5	0	0	3	2
gene0178	5	3	6	5	3	8
gene0179	4	11	6	8	8	6
gene0180	6	17	9	13	4	28
gene0181	1	1	3	2	1	4
gene0182	4	0	2	0	3	2
gene0183	1	0	3	6	2	5
gene0184	0	1	0	0	0	0
gene0185	0	0	1	2	1	2
gene0186	0	1	0	3	3	3
gene0187	0	0	0	1	0	2
gene0188	0	2	1	0	2	2
gene0189	0	1	0	2	0	2
gene0190	0	0	0	2	1	3
gene0191	1	0	2	0	1	1
gene0192	0	1	1	0	0	1
gene0193	1	2	0	1	0	0
gene0194	0	0	0	0	0	0
gene0195	1	3	2	1	4	12
gene0195.1	0	0	2	0	4	2
gene0196	2	5	4	8	5	11
gene0197	0	0	0	1	0	0
gene0198	0	2	0	1	2	2
gene0199	0	1	0	0	0	2
gene0200	2	0	1	1	2	2
gene0201	3	6	3	2	2	6
gene0202	0	3	3	6	4	4
gene0203	0	2	1	3	0	2
gene0204	1	0	0	2	2	1
gene0205	3	2	1	1	1	3
gene0206	1	2	3	4	3	4
gene0207	0	2	1	0	2	9
gene0208	2	11	5	6	2	7
gene0209	0	0	2	0	0	0
gene0210	0	0	0	0	0	0
gene0211	0	0	0	0	2	1
gene0212	0	0	0	0	0	1
gene0213	0	0	0	0	0	1
gene0214	0	1	0	1	0	2
gene0215	0	2	2	3	2	3
gene0216	2	5	7	7	2	6
gene0217	5	2	5	11	2	15
gene0218	2	2	6	6	1	7
gene0219	1	0	0	2	1	2
gene0220	4	2	1	3	1	3
gene0221	0	0	1	3	1	2
gene0222	0	0	0	6	0	1
gene0223	1	3	0	4	2	2
gene0224	1	0	2	0	1	3
gene0225	3	0	3	4	6	7
gene0226	0	1	1	2	1	1
gene0227	1	1	1	1	2	4
gene0228	1	2	1	2	1	5
gene0229	0	0	2	1	2	0
gene0230	1	1	1	1	0	6
gene0231	0	1	1	0	0	3
gene0232	0	0	0	0	1	1
gene0233	1	0	3	3	1	2
gene0234	0	1	2	2	2	1
gene0235	2	1	2	1	1	6
gene0236	2	1	2	2	3	8
gene0237	0	0	0	0	0	0
gene0238	0	0	0	0	1	3
gene0239	4	1	2	4	1	2
gene0240	0	5	3	4	3	3
gene0241	2	1	1	1	3	2
gene0242	0	1	2	2	0	2
gene0243	0	4	2	1	5	3
gene0244	0	1	0	0	2	0
gene0245	0	1	0	1	0	2
gene0246	2	1	7	3	6	6
gene0247	0	3	5	3	1	6
gene0248	0	2	7	3	5	4
gene0249	0	1	0	2	0	2
gene0250	5	9	5	8	0	16
gene0251	1	1	0	1	0	4
gene0252	0	0	1	1	0	6
gene0253	0	0	3	2	7	9
gene0254	0	2	3	0	3	5
gene0255	2	1	3	5	1	7
gene0256	2	6	4	7	4	8
gene0257	0	5	5	4	9	12
gene0258	1	0	1	1	2	5
gene0259	4	14	12	13	25	45
gene0260	3	6	10	7	10	16
gene0261	1	1	4	0	1	2
gene0262	4	3	1	5	4	5
gene0263	0	1	1	2	1	0
gene0264	8	14	13	13	17	25
gene0265	15	52	40	37	35	60
gene0266	23	70	61	37	40	52
gene0267	1	7	1	5	2	10
gene0268	0	5	2	4	3	12
gene0269	1	2	1	3	2	1
gene0270	1	4	1	2	0	4
gene0271	0	1	0	5	0	1
gene0272	2	1	3	3	4	5
gene0273	0	1	0	0	0	2
